AUTO_FLAG,CATA_ID,CATA_TYPE,EPI_DEPTH,EPI_LAT,EPI_LON,EQ_CATA_TYPE,EQ_TYPE,IS_DEL,LOCATION_C,LOCATION_S,LOC_STN,M,M_MB,M_MB2,M_ML,M_MS,M_MS7,NEW_DID,O_TIME,O_TIME_FRA,SAVE_TIME,SUM_STN,SYNC_TIME,id
M,CC20230126184554.00,,130,-30.30,-178.80,,M,,新西兰克马德克群岛,,0,6.0,0,0,0,0,0,CC20230126184554,2023-01-26 18:45:53,0,2023-01-26 19:11:09,0,2023-01-26 19:11:09,44479
M,CD20230126174844.00,,10,35.76,79.94,,M,,新疆和田地区和田县,,0,3.2,0,0,0,0,0,CD20230126174844,2023-01-26 17:48:43,0,2023-01-26 17:59:51,0,2023-01-26 17:59:53,44478
M,CD20230126170519.00,,23,37.53,77.41,,M,,新疆喀什地区叶城县,,0,3.0,0,0,0,0,0,CD20230126170519,2023-01-26 17:05:19,0,2023-01-26 17:15:02,0,2023-01-26 17:15:05,44477
M,CC20230126072132.00,,14,29.63,101.99,,M,,四川甘孜州泸定县,,0,4.4,0,0,0,0,0,CC20230126072132,2023-01-26 07:21:32,0,2023-01-26 07:29:15,0,2023-01-26 07:29:15,44476
M,CD20230126055455.00,,10,35.75,79.85,,M,,新疆和田地区和田县,,0,3.2,0,0,0,0,0,CD20230126055455,2023-01-26 05:54:54,0,2023-01-26 06:07:28,0,2023-01-26 06:07:28,44475
M,CD20230126055341.00,,10,35.69,79.82,,M,,新疆和田地区和田县,,0,3.2,0,0,0,0,0,CD20230126055341,2023-01-26 05:53:40,0,2023-01-26 06:07:08,0,2023-01-26 06:07:11,44474
M,CD20230126052212.00,,8,29.64,101.98,,M,,四川甘孜州泸定县,,0,3.2,0,0,0,0,0,CD20230126052212,2023-01-26 05:22:11,0,2023-01-26 05:27:20,0,2023-01-26 05:27:21,44473
M,CC20230126051907.00,,10,29.66,101.96,,M,,四川甘孜州泸定县,,0,3.3,0,0,0,0,0,CC20230126051907,2023-01-26 05:19:07,0,2023-01-26 05:25:48,0,2023-01-26 05:25:49,44472
M,CC20230126045719.00,,10,29.65,101.98,,M,,四川甘孜州泸定县,,0,4.0,0,0,0,0,0,CC20230126045719,2023-01-26 04:57:18,0,2023-01-26 05:04:59,0,2023-01-26 05:05:01,44471
M,CD20230126045109.00,,11,29.61,102.00,,M,,四川甘孜州泸定县,,0,3.6,0,0,0,0,0,CD20230126045109,2023-01-26 04:51:09,0,2023-01-26 04:57:40,0,2023-01-26 04:57:40,44469
M,CD20230126044908.00,,10,35.73,79.81,,M,,新疆和田地区和田县,,0,3.1,0,0,0,0,0,CD20230126044908,2023-01-26 04:49:08,0,2023-01-26 05:00:27,0,2023-01-26 05:00:27,44470
M,CD20230126043043.00,,12,29.62,102.01,,M,,四川甘孜州泸定县,,0,3.2,0,0,0,0,0,CD20230126043043,2023-01-26 04:30:43,0,2023-01-26 04:36:08,0,2023-01-26 04:36:08,44468
M,CD20230126040326.00,,9,29.63,101.99,,M,,四川甘孜州泸定县,,0,2.9,0,0,0,0,0,CD20230126040326,2023-01-26 04:03:25,0,2023-01-26 04:12:33,0,2023-01-26 04:12:34,44466
M,CC20230126035016.00,,10,29.66,102.07,,M,,四川甘孜州泸定县,,0,4.5,0,0,0,0,0,CC20230126035016,2023-01-26 03:50:16,0,2023-01-26 04:35:21,0,2023-01-26 04:35:21,44467
M,CC20230126034944.00,,11,29.63,102.01,,M,,四川甘孜州泸定县,,0,5.6,0,0,0,0,0,CC20230126034944,2023-01-26 03:49:43,0,2023-01-26 04:01:46,0,2023-01-26 04:01:47,44465
M,CD20230126001048.00,,10,35.79,79.82,,M,,新疆和田地区和田县,,0,3.8,0,0,0,0,0,CD20230126001048,2023-01-26 00:10:47,0,2023-01-26 00:18:12,0,2023-01-26 00:18:12,44463
M,CD20230126000928.00,,10,35.73,79.81,,M,,新疆和田地区和田县,,0,3.0,0,0,0,0,0,CD20230126000928,2023-01-26 00:09:27,0,2023-01-26 00:18:59,0,2023-01-26 00:18:59,44464
M,CD20230126000210.00,,10,35.83,79.89,,M,,新疆和田地区和田县,,0,4.9,0,0,0,0,0,CD20230126000210,2023-01-26 00:02:10,0,2023-01-26 00:10:55,0,2023-01-26 00:10:55,44462
