所属区,市区,小区,户型,朝向,楼层,装修情况,面积,价格(万元),单价,年份,房型
锦江,莲花,莲桂西路15号 ,2室1厅,东南,中楼层(共7层),简装,53.94平米,62,"11,495元/平",1991年建,板楼
武侯,五大花园,皇家别墅 ,11室2厅,北,2层,简装,180平米,460,"25,556元/平",2000年建,板楼
高新西,高新西,上锦颐园佳境 ,2室1厅,东南,中楼层(共26层),精装,75.57平米,70,"9,263元/平",2012年建,板楼
龙泉驿,龙泉驿城区,艺锦湾二期 ,3室2厅,东南,低楼层(共6层),精装,107平米,165,"15,421元/平",2013年建,板塔结合
武侯,丽都,中粮香颂丽都 ,3室1厅,西北,中楼层(共19层),精装,79.47平米,215,"27,055元/平",2015年建,板楼
郫都,犀浦,锦苑三期 ,5室2厅,东南,中楼层(共11层),简装,157.55平米,189,"11,997元/平",2010年建,板塔结合
武侯,丽都,红城 ,3室1厅,西南,中楼层(共18层),简装,82.53平米,167.5,"20,296元/平",2011年建,板楼
高新,新北,恩威玲珑南域 ,2室1厅,西南,低楼层(共16层),简装,89.39平米,170,"19,018元/平",2011年建,板楼
温江,温江新城,积家御景 ,3室1厅,南,中楼层(共33层),毛坯,87.93平米,116,"13,193元/平",2016年建,塔楼
高新西,高新西,万景峰一期 ,3室2厅,东南 西南,中楼层(共33层),精装,89.67平米,119,"13,271元/平",2012年建,塔楼
高新,华阳,慕和南道 ,3室2厅,西,高楼层(共25层),精装,136.4平米,279,"20,455元/平",2010年建,板塔结合
青白江,青白江,凤凰1号?栖云湖 ,3室2厅,东南,中楼层(共22层),精装,101.87平米,84,"8,246元/平",2017年建,板楼
温江,花都大道,蓝润光华春天B区 ,3室2厅,西南,高楼层(共31层),精装,94.85平米,144,"15,182元/平",2017年建,板塔结合
青羊,外光华,佳兆业广场 ,3室1厅,东,高楼层(共15层),精装,87.49平米,197,"22,517元/平",2016年建,板塔结合
郫都,郫县城区,海骏达蜀都1号一期南区 ,3室1厅,西南,中楼层(共25层),精装,93.21平米,125,"13,411元/平",2013年建,塔楼
金牛,国宾,恒大西锦城 ,3室2厅,南,低楼层(共29层),精装,121.47平米,232,"19,100元/平",2012年建,塔楼
温江,光华大道沿线,彩叠园1B期 ,3室1厅,南,低楼层(共5层),精装,104.67平米,188,"17,962元/平",2013年建,板塔结合
万象城,万象城,观城 ,3室2厅,南,低楼层(共33层),精装,88.67平米,230,"25,939元/平",2013年建,板塔结合
新都,新都城区,东骏湖景湾一期 ,3室1厅,南,高楼层(共7层),简装,125.52平米,168,"13,385元/平",2010年建,板塔结合
武侯,新双楠,置信丽都花园城C区 ,3室1厅,东,中楼层(共13层),精装,141平米,260,"18,440元/平",2006年建,板塔结合
成华,动物园,金科一城 ,3室1厅,南 北,低楼层(共20层),简装,88.46平米,141,"15,940元/平",2008年建,塔楼
猛追湾,猛追湾,宏祥公寓 ,3室2厅,东南,低楼层(共7层),简装,136.64平米,120,"8,783元/平",1995年建,板楼
锦江,九眼桥,世纪朝阳 ,3室1厅,西北,中楼层(共26层),简装,140.2平米,328,"23,396元/平",2005年建,板塔结合
武侯,双楠,省送变电站宿舍 ,4室2厅,东 西,中楼层(共7层),简装,119.7平米,120,"10,026元/平",2000年建,板楼
龙泉驿,阳光城,国一澳乡 ,3室2厅,南,3层,毛坯,180.65平米,218,"12,068元/平",2009年建,暂无数据
龙泉驿,龙泉驿城区,皇冠湖壹号 ,3室2厅,东,高楼层(共8层),精装,118.8平米,270,"22,728元/平",2018年建,板楼
武侯,丽都,交大万通格外 ,2室1厅,西,高楼层(共18层),精装,62.87平米,133,"21,155元/平",2011年建,板楼
新都,大丰,保利城三期 ,3室2厅,北,高楼层(共18层),精装,88.91平米,140,"15,747元/平",2015年建,塔楼
蓝谷地,蓝谷地,蓝谷地天域 ,3室2厅,东南,低楼层(共31层),简装,89.23平米,178.98,"20,059元/平",2012年建,塔楼
高新,华府,中海右岸一期 ,3室2厅,北,高楼层(共26层),精装,93.43平米,200,"21,407元/平",2018年建,塔楼
龙泉驿,龙泉驿城区,四季康城 ,3室1厅,南,低楼层(共18层),简装,90.22平米,99.8,"11,062元/平",2013年建,板塔结合
青羊,西南财大,金沙春 ,3室2厅,南,低楼层(共7层),简装,94.99平米,110,"11,581元/平",2004年建,板楼
新都,毗河,传化国际新城 ,3室1厅,东南,中楼层(共34层),精装,81.65平米,99,"12,125元/平",2015年建,板塔结合
天府新区,南湖,宏益家园 ,3室2厅,南,高楼层(共6层),简装,107.84平米,95,"8,810元/平",1992年建,平房
郫都,犀浦,蓝光幸福满庭 ,3室2厅,东南,高楼层(共25层),精装,68.59平米,116,"16,913元/平",2014年建,板塔结合
龙泉驿,大面,保利玫瑰花语 ,3室1厅,南,低楼层(共31层),毛坯,94.92平米,151,"15,909元/平",2016年建,板楼
天府新区南江,麓山,心怡中丝园 ,3室2厅,东 北,中楼层(共33层),毛坯,102.36平米,225,"21,982元/平",2015年建,板塔结合
温江,温江大学城,中铁丽景书香 ,3室1厅,东 东南 南 西南,中楼层(共33层),简装,95.59平米,125,"13,077元/平",2016年建,板塔结合
郫都,犀浦,华邑阳光里 ,3室2厅,西北,低楼层(共23层),毛坯,90.83平米,130,"14,313元/平",2015年建,板塔结合
郫都,郫县城区,中铁奥维尔二期 ,3室2厅,南,21层,毛坯,88.22平米,85,"9,636元/平",2019年建,塔楼
青羊,外光华,长虹和悦府 ,3室1厅,东 西,中楼层(共20层),精装,88.51平米,221,"24,969元/平",2015年建,板塔结合
郫都,橡树湾,龙城国际 ,3室2厅,西南,中楼层(共33层),精装,88.51平米,143,"16,157元/平",2013年建,板塔结合
龙泉驿,大面,天府逸家二期 ,3室2厅,东南,中楼层(共41层),精装,79.52平米,146,"18,361元/平",2016年建,板塔结合
成华,龙潭寺,中国铁建北湖国际城二期 ,3室1厅,西,低楼层(共35层),精装,83.13平米,149,"17,924元/平",2018年建,板塔结合
温江,国色天乡,德坤海地亚 ,3室1厅,东南,中楼层(共18层),精装,88.54平米,93,"10,504元/平",2013年建,板塔结合
成华,万年场,长融一代天骄 ,2室1厅,北,中楼层(共11层),简装,81.99平米,120,"14,636元/平",2006年建,板塔结合
郫都,橡树湾,华润橡树湾B区 ,3室2厅,南,中楼层(共34层),精装,81.73平米,135,"16,518元/平",2013年建,板塔结合
金牛,成外,天璟荟 ,3室1厅,东南,低楼层(共15层),精装,85.18平米,130,"15,262元/平",2019年建,板塔结合
